模型名称：数据导出
合约名称：PTA1309 
测试时间：2007-02-26 -- 2013-04-18
测试周期：日线
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：5吨/手
手续费：0圆/手
----------------------------------
  测试天数：		2243		  测试周期数：	1444
  指令总数：		1444		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147462528
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-21119.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	49.79%		  成交额：	120564400
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		1444		
  盈利次数比例：	48.75%		  亏损次数比例：	50.14%
  平均利润率：		-0.00%		  平均每次盈利：	-15
  标准离差率：		-4873.0%		  标准离差：		667.16
  多头次数：		722		  空头次数：		721
  多头盈利次数：	350		  空头盈利次数：	354

  盈利次数：		704		  亏损次数：	724
  总盈利：		298580(0.01%)	  总亏损：	-318350(-0.01%)
  平均盈利率：		424(0.00%)	  平均亏损率：	-440(-0.00%)
  最大盈利额：		5940(0.00%)	  最大亏损额：	-7590(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	11		  最大连续亏损次数：	9
  最大连续盈利：	9750(0.00%)	  最大连续亏损：	-8880(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20070626	8588	多头	20070627	8560	1	0	-140	-140	2147486976	正常
20070627	8560	空头	20070628	8500	1	0	300	300	2147487232	正常
20070628	8500	多头	20070629	8442	1	0	-290	-290	2147486976	正常
20070629	8442	空头	20070702	8530	1	0	-440	-440	2147486464	正常
20070702	8530	多头	20070703	8514	1	0	-80	-80	2147486464	正常
20070703	8514	空头	20070704	8568	1	0	-270	-270	2147486208	正常
20070704	8568	多头	20070705	8560	1	0	-40	-40	2147486208	正常
20070705	8560	空头	20070706	8536	1	0	120	120	2147486208	正常
20070706	8536	多头	20070709	8588	1	0	260	260	2147486464	正常
20070709	8588	空头	20070710	8572	1	0	80	80	2147486464	正常
20070710	8572	多头	20070711	8578	1	0	30	30	2147486464	正常
20070711	8578	空头	20070712	8620	1	0	-210	-210	2147486208	正常
20070712	8620	多头	20070713	8654	1	0	170	170	2147486464	正常
20070713	8654	空头	20070716	8718	1	0	-320	-320	2147486208	正常
20070716	8718	多头	20070717	8716	1	0	-10	-10	2147486208	正常
20070717	8716	空头	20070718	8680	1	0	180	180	2147486464	正常
20070718	8680	多头	20070719	8658	1	0	-110	-110	2147486464	正常
20070719	8658	空头	20070720	8714	1	0	-280	-280	2147486208	正常
20070720	8714	多头	20070723	8700	1	0	-70	-70	2147486208	正常
20070723	8700	空头	20070724	8650	1	0	250	250	2147486464	正常
20070724	8650	多头	20070725	8642	1	0	-40	-40	2147486464	正常
20070725	8642	空头	20070726	8684	1	0	-210	-210	2147486208	正常
20070726	8684	多头	20070727	8632	1	0	-260	-260	2147485952	正常
20070727	8632	空头	20070730	8650	1	0	-90	-90	2147485952	正常
20070730	8650	多头	20070731	8596	1	0	-270	-270	2147485696	正常
20070731	8596	空头	20070801	8530	1	0	330	330	2147485952	正常
20070801	8530	多头	20070802	8490	1	0	-200	-200	2147485696	正常
20070802	8490	空头	20070803	8476	1	0	70	70	2147485696	正常
20070803	8476	多头	20070806	8450	1	0	-130	-130	2147485440	正常
20070806	8450	空头	20070807	8378	1	0	360	360	2147485696	正常
20070807	8378	多头	20070808	8356	1	0	-110	-110	2147485696	正常
20070808	8356	空头	20070809	8300	1	0	280	280	2147485952	正常
20070809	8300	多头	20070810	8260	1	0	-200	-200	2147485696	正常
20070810	8260	空头	20070813	8258	1	0	10	10	2147485696	正常
20070813	8258	多头	20070814	8048	1	0	-1050	-1050	2147484672	正常
20070814	8048	空头	20070815	8098	1	0	-250	-250	2147484416	正常
20070815	8098	多头	20070816	8094	1	0	-20	-20	2147484416	正常
20070816	8094	空头	20070817	8068	1	0	130	130	2147484672	正常
20070817	8068	多头	20070820	8058	1	0	-50	-50	2147484672	正常
20070820	8058	空头	20070821	8018	1	0	200	200	2147484928	正常
20070821	8018	多头	20070822	8000	1	0	-90	-90	2147484928	正常
20070822	8000	空头	20070823	7962	1	0	190	190	2147485184	正常
20070823	7962	多头	20070824	7916	1	0	-230	-230	2147484928	正常
20070824	7916	空头	20070827	7900	1	0	80	80	2147484928	正常
20070827	7900	多头	20070828	7912	1	0	60	60	2147484928	正常
20070828	7912	空头	20070829	7870	1	0	210	210	2147485184	正常
20070829	7870	多头	20070830	7884	1	0	70	70	2147485184	正常
20070830	7884	空头	20070831	7850	1	0	170	170	2147485440	正常
20070831	7850	多头	20070903	8002	1	0	760	760	2147486208	正常
20070903	8002	空头	20070904	7998	1	0	20	20	2147486208	正常
20070904	7998	多头	20070905	7990	1	0	-40	-40	2147486208	正常
20070905	7990	空头	20070906	7926	1	0	320	320	2147486464	正常
20070906	7926	多头	20070907	7972	1	0	230	230	2147486720	正常
20070907	7972	空头	20070910	7914	1	0	290	290	2147486976	正常
20070910	7914	多头	20070911	7970	1	0	280	280	2147487232	正常
20070911	7970	空头	20070912	7832	1	0	690	690	2147488000	正常
20070912	7832	多头	20070913	7902	1	0	350	350	2147488256	正常
20070913	7902	空头	20070914	7878	1	0	120	120	2147488256	正常
20070914	7878	多头	20070919	9066	1	0	5940	5940	2147494144	正常
20070919	9066	空头	20071015	8900	1	0	830	830	2147494912	正常
20071015	8900	多头	20071016	9020	1	0	600	600	2147495424	正常
20071016	9020	空头	20071018	9000	1	0	100	100	2147495424	正常
20071018	9000	多头	20071019	8750	1	0	-1250	-1250	2147494144	正常
20071019	8750	空头	20071022	9000	1	0	-1250	-1250	2147492864	正常
20071022	9000	多头	20071024	8658	1	0	-1710	-1710	2147491072	正常
20071024	8658	空头	20071025	8750	1	0	-460	-460	2147490560	正常
20071025	8750	多头	20071026	8720	1	0	-150	-150	2147490304	正常
20071026	8720	空头	20071031	8770	1	0	-250	-250	2147490048	正常
20071031	8770	多头	20071105	8738	1	0	-160	-160	2147489792	正常
20071105	8738	空头	20071106	8788	1	0	-250	-250	2147489536	正常
20071106	8788	多头	20071107	8888	1	0	500	500	2147490048	正常
20071107	8888	空头	20071108	8660	1	0	1140	1140	2147491072	正常
20071108	8660	多头	20071109	8652	1	0	-40	-40	2147491072	正常
20071109	8652	空头	20071112	8736	1	0	-420	-420	2147490560	正常
20071112	8736	多头	20071113	8678	1	0	-290	-290	2147490304	正常
20071113	8678	空头	20071114	8608	1	0	350	350	2147490560	正常
20071114	8608	多头	20071115	8628	1	0	100	100	2147490560	正常
20071115	8628	空头	20071116	8500	1	0	640	640	2147491328	正常
20071116	8500	多头	20071119	8700	1	0	1000	1000	2147492352	正常
20071119	8700	空头	20071121	8550	1	0	750	750	2147493120	正常
20071121	8550	多头	20071122	8762	1	0	1060	1060	2147494144	正常
20071122	8762	空头	20071126	8544	1	0	1090	1090	2147495168	正常
20071126	8544	多头	20071127	8548	1	0	20	20	2147495168	正常
20071127	8548	空头	20071130	8388	1	0	800	800	2147495936	正常
20071130	8388	多头	20071203	8166	1	0	-1110	-1110	2147494912	正常
20071203	8166	空头	20071204	8250	1	0	-420	-420	2147494400	正常
20071204	8250	多头	20071205	8190	1	0	-300	-300	2147494144	正常
20071205	8190	空头	20071206	8150	1	0	200	200	2147494400	正常
20071206	8150	多头	20071207	8190	1	0	200	200	2147494656	正常
20071207	8190	空头	20071210	8066	1	0	620	620	2147495168	正常
20071210	8066	多头	20071211	8048	1	0	-90	-90	2147495168	正常
20071211	8048	空头	20071212	7922	1	0	630	630	2147495680	正常
20071212	7922	多头	20071213	8040	1	0	590	590	2147496192	正常
20071213	8040	空头	20071214	7908	1	0	660	660	2147496960	正常
20071214	7908	多头	20071218	7820	1	0	-440	-440	2147496448	正常
20071218	7820	空头	20071219	7798	1	0	110	110	2147496448	正常
20071219	7798	多头	20071220	7900	1	0	510	510	2147496960	正常
20071220	7900	空头	20071221	7948	1	0	-240	-240	2147496704	正常
20071221	7948	多头	20071224	7950	1	0	10	10	2147496704	正常
20071224	7950	空头	20071225	8000	1	0	-250	-250	2147496448	正常
20071225	8000	多头	20071226	8150	1	0	750	750	2147497216	正常
20071226	8150	空头	20071227	8368	1	0	-1090	-1090	2147496192	正常
20071227	8368	多头	20071228	8058	1	0	-1550	-1550	2147494656	正常
20071228	8058	空头	20080102	8214	1	0	-780	-780	2147493888	正常
20080102	8214	多头	20080103	8200	1	0	-70	-70	2147493888	正常
20080103	8200	空头	20080104	8030	1	0	850	850	2147494656	正常
20080104	8030	多头	20080107	8038	1	0	40	40	2147494656	正常
20080107	8038	空头	20080108	8050	1	0	-60	-60	2147494656	正常
20080108	8050	多头	20080109	8092	1	0	210	210	2147494912	正常
20080109	8092	空头	20080110	8410	1	0	-1590	-1590	2147493376	正常
20080110	8410	多头	20080111	7850	1	0	-2800	-2800	2147490560	正常
20080111	7850	空头	20080114	7996	1	0	-730	-730	2147489792	正常
20080114	7996	多头	20080115	7958	1	0	-190	-190	2147489536	正常
20080115	7958	空头	20080116	8076	1	0	-590	-590	2147489024	正常
20080116	8076	多头	20080122	7872	1	0	-1020	-1020	2147488000	正常
20080122	7872	空头	20080123	8070	1	0	-990	-990	2147486976	正常
20080123	8070	多头	20080124	8160	1	0	450	450	2147487488	正常
20080124	8160	空头	20080125	8220	1	0	-300	-300	2147487232	正常
20080125	8220	多头	20080128	8000	1	0	-1100	-1100	2147486208	正常
20080128	8000	空头	20080129	8078	1	0	-390	-390	2147485696	正常
20080129	8078	多头	20080130	7980	1	0	-490	-490	2147485184	正常
20080130	7980	空头	20080131	8000	1	0	-100	-100	2147485184	正常
20080131	8000	多头	20080201	8038	1	0	190	190	2147485440	正常
20080201	8038	空头	20080204	7980	1	0	290	290	2147485696	正常
20080204	7980	多头	20080205	7942	1	0	-190	-190	2147485440	正常
20080205	7942	空头	20080213	8122	1	0	-900	-900	2147484416	正常
20080213	8122	多头	20080215	8142	1	0	100	100	2147484416	正常
20080215	8142	空头	20080218	8240	1	0	-490	-490	2147483904	正常
20080218	8240	多头	20080219	8166	1	0	-370	-370	2147483520	正常
